TopPourLeftSide,TopPourRightSide,BottomPourLeftSide,BottomPourRightSide,LeftPourTopSide,LeftPourBottomSide,RightPourTopSide,RightPourBottomSide,FullPour,Number
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897959183673469,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4489795918367347,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204081632653061,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673469387755102,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836734693877551,0
0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.6836734693877551,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5408163265306123,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5612244897959183,0
0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.45918367346938777,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387755102040817,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1020408163265305,0
0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.7857142857142857,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0
0.05612244897959184,0.22448979591836735,0.0,0.0,0.10204081632653061,0.01020408163265306,0.05102040816326531,0.07142857142857142,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959183673469388,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030612244897959,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387755102040817,0
0.23979591836734693,0.15306122448979592,0.00510204081632653,0.0,0.14795918367346939,0.28061224489795916,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673469387755102,0
